bioguide_id,display_name,party,state,pc0,pc1,pc2,pc3
A000055,Robert B. Aderholt,Republican,AL,21.77522748894351,7.3526861943550825,-0.3048608794894686,-4.269257971897849
B001257,Gus M. Bilirakis,Republican,FL,24.822236566905943,-2.6268454640434578,0.4137331500637611,-1.598268283593124
B000490,"Sanford D. Bishop, Jr.",Democrat,GA,-24.090373620004154,0.7690950678752851,3.7432345109899305,0.004058783812745804
B001260,Vern Buchanan,Republican,FL,21.12922633567068,6.0235052069845505,-1.0950095415166388,-2.9740126342548585
C000059,Ken Calvert,Republican,CA,15.505821249501018,16.28218568013905,-4.115558340789132,4.0051201599883814
C001072,André Carson,Democrat,IN,-25.692996698565697,-1.6586748295902265,-2.0909754154258575,-1.4108246289056563
C001051,John R. Carter,Republican,TX,18.80470052065876,6.534362001642374,-1.1849222470985699,0.5123375311410361
C001066,Kathy Castor,Democrat,FL,-24.86521815867418,0.10620353063482976,2.4295068528211985,-0.9937946237714769
C001080,Judy Chu,Democrat,CA,-26.045025823176694,-3.57065728740852,-4.309888883191462,-1.502294954791477
C001067,Yvette D. Clarke,Democrat,NY,-26.203333978318334,-3.815417882942738,-5.572462861704535,-1.6110025482644381
C001061,Emanuel Cleaver,Democrat,MO,-21.253183094296453,-2.001424109551514,-2.8989044458163336,-0.572591951417574
C000537,James E. Clyburn,Democrat,SC,-25.763333381298278,-0.6678037667462291,0.4858015138401334,-1.782822417731203
C001068,Steve Cohen,Democrat,TN,-23.85008510858215,-0.5837977440027502,1.8670100570036245,-0.59220172712321
C001053,Tom Cole,Republican,OK,14.672343279027833,16.166080544621202,-4.528546701831305,4.0906382641759675
C001059,Jim Costa,Democrat,CA,-19.42688333735434,3.2380858345197736,6.909440677884808,3.632243244086919
C001069,Joe Courtney,Democrat,CT,-23.516477765223804,1.588048839891876,6.05480202261663,1.254385940628151
C001087,"Eric A. ""Rick"" Crawford",Republican,AR,22.578480175932658,5.1086465596395625,-0.7396341261946994,-4.528514950538904
C001063,Henry Cuellar,Democrat,TX,-12.845013119502363,6.467530356503323,7.83118163935456,7.316337554373805
D000096,Danny K. Davis,Democrat,IL,-25.21124404732422,-2.96814350086089,-4.479246988789574,-1.2385838637776352
D000197,Diana DeGette,Democrat,CO,-25.8617191438557,-2.641871446948988,-2.927599604623691,-2.0327639748388875
D000216,Rosa L. DeLauro,Democrat,CT,-25.21860484016529,-0.4396087355124657,1.8997326404469381,-1.5843508694839294
D000616,Scott DesJarlais,Republican,TN,25.902627825367446,-5.2356505421326105,0.9300421570713432,-3.15907397845289
D000600,Mario Diaz-Balart,Republican,FL,14.900936264590438,14.102616987179461,-4.0724574139080945,3.0652608058257784
D000399,Lloyd Doggett,Democrat,TX,-25.46682040006424,-3.636624312704311,-4.077691090726273,-0.7176552786231926
F000459,"Charles J. ""Chuck"" Fleischmann",Republican,TN,16.782595012068928,13.352783324464072,-4.262557640853695,2.662537787889697
F000450,Virginia Foxx,Republican,NC,25.67594727538448,-0.09824644856485673,1.4771692785695962,-4.64094421180112
G000559,John Garamendi,Democrat,CA,-21.668472352670598,-1.3381011771696503,0.2893418146982257,-2.034768601425102
G000565,Paul A. Gosar,Republican,AZ,27.408936663141276,-15.901082331050427,-1.8949312310998556,8.048375432705862
G000546,Sam Graves,Republican,MO,22.941554811492047,3.44673026898657,1.7690899753984548,-5.816496203755718
G000553,Al Green,Democrat,TX,-25.607226271806677,-2.741986171485992,-3.469673036097374,-1.2487430877966794
G000568,H. Morgan Griffith,Republican,VA,21.904654315628378,-0.05779025918543583,-3.775998725274521,2.6756473141189057
G000558,Brett Guthrie,Republican,KY,22.047454333795706,7.153129292843569,0.045913449350430166,-5.050940642745526
H001052,Andy Harris,Republican,MD,27.407550770420904,-8.57658391817517,-1.1802088121207812,3.305377726384689
H001047,James A. Himes,Democrat,CT,-23.663427098332562,1.5798996586828298,4.836009078606805,0.17973264932454294
H000874,Steny H. Hoyer,Democrat,MD,-23.16476085749597,0.9347179861812763,2.687858096652562,-0.9832460778198977
H001058,Bill Huizenga,Republican,MI,23.80883379272158,2.4625997824265,1.2063628332292269,-5.1091616438829375
J000288,"Henry C. ""Hank"" Johnson, Jr.",Democrat,GA,-25.5384531089238,-2.9659993327897287,-5.782223643794289,-1.0604917628615091
J000289,Jim Jordan,Republican,OH,28.868885343534266,-11.138587692649784,1.5244969949081235,1.9725472700249265
K000009,Marcy Kaptur,Democrat,OH,-21.308060561531818,2.508113340836446,7.382379514571184,3.4694595292065595
K000375,William R. Keating,Democrat,MA,-24.798443909734807,-0.015212161410178837,2.815119582551259,-0.561309527732711
K000376,Mike Kelly,Republican,PA,17.27440901784493,8.68070448626035,-3.185697173229024,4.136011213314356
L000560,Rick Larsen,Democrat,WA,-23.541261256798478,-2.3800129887133448,0.6126549631111136,-1.2596378973118048
L000557,John B. Larson,Democrat,CT,-24.49795589853217,-0.4521010720426287,1.7913365864118593,-0.6954720908377401
L000566,Robert E. Latta,Republican,OH,23.2119088905609,6.1237394607920645,0.09440774466878958,-6.2834152248013995
L000397,Zoe Lofgren,Democrat,CA,-24.14711272850466,-1.2668502001147723,-0.6711893111406091,-0.6328447650794617
L000491,Frank D. Lucas,Republican,OK,15.68779382749983,14.807440030248555,-3.732829436018503,3.663231521106465
L000562,Stephen F. Lynch,Democrat,MA,-23.309114326373205,0.5861368856748154,4.4212227631176955,0.9661917183656483
M001163,Doris O. Matsui,Democrat,CA,-24.783820213434485,-2.115544389977329,0.5270298632759629,-1.8958870871909388
M001157,Michael T. McCaul,Republican,TX,18.92101235785234,10.158675589002948,-1.1204557846446939,-2.5446300198994543
M001177,Tom McClintock,Republican,CA,26.093422058966084,-7.364510794120912,0.6072962943467594,1.9372206308423703
M001143,Betty McCollum,Democrat,MN,-25.706066304724608,-1.302100160466605,-0.6820707261139867,-1.7781646014353567
M000312,James P. McGovern,Democrat,MA,-25.972803349784943,-4.1509947525764685,-4.7359221194615495,-0.4511833931798057
M001137,Gregory W. Meeks,Democrat,NY,-25.43834628563617,-0.33931275621776247,1.0922918312663552,-1.9329092079341983
M001160,Gwen Moore,Democrat,WI,-24.667011727482453,-3.5769882539951885,-4.623336512839572,-1.369556789104636
N000002,Jerrold Nadler,Democrat,NY,-25.577673604234707,-3.7120922902184397,-4.089769189413411,-1.102161396155788
N000015,Richard E. Neal,Democrat,MA,-25.470933562249094,-1.5784573157204642,-0.831726469888037,-1.6115361070656797
N000147,Eleanor Holmes Norton,Democrat,DC,-16.850858073507602,1.0390833626164513,-4.59224238763364,3.629438828087233
P000034,"Frank Pallone, Jr.",Democrat,NJ,-25.04819364208153,-1.6279811682537744,-0.6313106508054797,-0.7000991072200747
P000197,Nancy Pelosi,Democrat,CA,-23.63346024702904,-2.433385143058016,0.5244924723552722,-2.4715153432731514
P000597,Chellie Pingree,Democrat,ME,-24.615807891964195,-4.08541914655025,-3.050029266954412,-1.9874999124072796
Q000023,Mike Quigley,Democrat,IL,-24.29457725030248,0.05989669808785278,2.7388746425798907,-1.377271614327208
R000395,Harold Rogers,Republican,KY,15.125505792585304,15.073302751168432,-4.324838847905179,3.5041936449262994
R000575,Mike Rogers,Republican,AL,20.635375985563627,8.721656292000652,-0.3237230736721772,-3.239258255627298
S001176,Steve Scalise,Republican,LA,23.757082406444667,-1.1526419502997043,1.7625298666626676,-4.13141223092492
S001145,Janice D. Schakowsky,Democrat,IL,-25.666299835409543,-4.019936885151462,-5.184937058251127,-0.8997214167279507
S001183,David Schweikert,Republican,AZ,24.52470629111272,-3.236126565952658,-0.9599288033195947,2.4738757645088607
S001189,Austin Scott,Republican,GA,20.73964447351394,8.642561049203481,-1.063005728070281,-1.399658102212081
S000185,"Robert C. ""Bobby"" Scott",Democrat,VA,-25.682959623810504,-2.707572155731546,-2.8887858759346146,-2.0321442898153106
S001185,Terri A. Sewell,Democrat,AL,-23.58870093079128,-0.5445522550824612,1.9258044978973792,-1.4013513665405934
S000344,Brad Sherman,Democrat,CA,-25.090598547280344,-0.9858482878020536,0.21624934164965823,-1.0928367091043725
S001148,Michael K. Simpson,Republican,ID,13.882383794717025,15.417762078592085,-5.853763621080529,5.057639327023352
S000510,Adam Smith,Democrat,WA,-25.63874439244957,-1.2383452513706559,0.13465446721583982,-1.9245871946566655
S001172,Adrian Smith,Republican,NE,22.984680179689978,5.211037381152497,0.16375472037271835,-5.84095438240768
S000522,Christopher H. Smith,Republican,NJ,17.460443026795872,9.742608740537497,-3.076810285157598,-0.3455925232870313
S001156,Linda T. Sánchez,Democrat,CA,-25.66134835720097,-2.2589704280214042,-2.216613453065961,-1.2772737358037705
T000193,Bennie G. Thompson,Democrat,MS,-25.549643136410488,-0.5355760091107677,0.7700036141432715,-1.5343202753840584
T000460,Mike Thompson,Democrat,CA,-24.614281834605933,0.4133215750309119,3.6389074814792304,-0.4614536866643259
T000467,Glenn Thompson,Republican,PA,18.210529897544763,11.277969685109696,-4.1118568825869835,1.8854427931631275
T000469,Paul Tonko,Democrat,NY,-25.63902632848965,-2.295414953682689,-1.526752121501831,-1.2214362929758242
T000463,Michael R. Turner,Republican,OH,12.733729086251817,14.433161427434925,-2.899213295811964,4.272279641846618
V000081,Nydia M. Velázquez,Democrat,NY,-25.298626441809972,-4.292416983150924,-6.193976708749627,-1.5875601004986262
