bioguide_id,display_name,party,state,pc0,pc1,pc2
C000127,Maria Cantwell,Democrat,WA,20.8165480263661,-1.0199205306582446,0.6397570952262734
K000367,Amy Klobuchar,Democrat,MN,20.297272588183056,0.6983567585065308,1.6576748804477406
S000033,Bernard Sanders,Independent,VT,17.193463751383593,-8.489806776789711,-2.9452607232714767
W000802,Sheldon Whitehouse,Democrat,RI,20.58119072311507,-0.15426897609602236,1.158512309646201
B001261,John Barrasso,Republican,WY,-19.68252335382418,1.3174352717741442,2.061129194584681
W000437,Roger F. Wicker,Republican,MS,-19.294674494395224,8.320859164136504,0.3111468115282692
C001035,Susan M. Collins,Republican,ME,4.87878708028879,9.363306547972083,-10.109400986582514
C001056,John Cornyn,Republican,TX,-18.178538557516607,8.583115397571364,-0.5585223893569424
D000563,Richard J. Durbin,Democrat,IL,19.558142597466006,-2.491364335243546,-1.3551948466305492
G000359,Lindsey Graham,Republican,SC,-3.986369005415628,8.092124209977175,-8.703228228347772
M000355,Mitch McConnell,Republican,KY,-16.333400329920046,9.240314905616309,-1.9714473013556524
M001176,Jeff Merkley,Democrat,OR,19.971533609185684,-4.488145521020956,-1.7239490657308683
R000122,Jack Reed,Democrat,RI,21.129841655202835,0.3746790056179426,1.3085657888200302
R000584,James E. Risch,Republican,ID,-20.31020891495872,0.7361610580024354,2.3057491053006434
S001181,Jeanne Shaheen,Democrat,NH,19.726041049173215,0.5487221611466232,1.5809605904411943
W000805,Mark R. Warner,Democrat,VA,20.247363477470607,0.01356078968582359,1.4005553675496756
G000555,Kirsten E. Gillibrand,Democrat,NY,20.607407540361447,0.3502111194073199,1.2634612625044161
C001088,Christopher A. Coons,Democrat,DE,19.971347969906763,-0.6072168771292632,1.5762619047662956
B001230,Tammy Baldwin,Democrat,WI,20.71105022100683,-1.4031036082717419,-0.494425582650563
B001267,Michael F. Bennet,Democrat,CO,20.503962042755298,0.22696519675381882,1.4299749579751542
B001243,Marsha Blackburn,Republican,TN,-23.81215917773614,-5.003517939514625,2.775476037405253
B001277,Richard Blumenthal,Democrat,CT,20.978408347640713,0.11167046803513377,1.3897104623514294
B001236,John Boozman,Republican,AR,-20.57390821709187,5.536194673118843,3.2709830343940824
C001047,Shelley Moore Capito,Republican,WV,-15.810286534917912,9.754292337049492,-1.541603148108041
C001075,Bill Cassidy,Republican,LA,-16.971847396232715,5.558450428364386,1.0888312265619418
C000880,Mike Crapo,Republican,ID,-20.764955892585437,1.327143672617793,3.1782191919583647
G000386,Chuck Grassley,Republican,IA,-17.05846775581412,7.76049649575519,-2.6404475442175963
H001046,Martin Heinrich,Democrat,NM,20.72670083453554,0.039789976702460934,0.8920056242042073
H001042,Mazie K. Hirono,Democrat,HI,21.073776951632553,-1.2555531459890368,0.1652557428484671
H001061,John Hoeven,Republican,ND,-21.159205680980282,0.9073949095885171,2.984224853158127
J000293,Ron Johnson,Republican,WI,-23.69879143381291,-4.3673104109865815,1.6622221850182681
L000575,James Lankford,Republican,OK,-21.442833439979456,2.3978836977889753,2.9483873871440305
L000577,Mike Lee,Republican,UT,-23.53509881345743,-15.514772904279509,-13.371644707410695
L000570,Ben Ray Luján,Democrat,NM,20.668691633753767,0.05009790996656,1.0908167767635706
M000133,Edward J. Markey,Democrat,MA,20.167371568407987,-5.2987852262162844,-3.626422394343247
M000934,Jerry Moran,Republican,KS,-16.141914560018044,7.301662242109442,-1.6230268352917776
M001153,Lisa Murkowski,Republican,AK,2.8597283203040456,7.86885840375329,-13.993363288011496
M001169,Christopher Murphy,Democrat,CT,20.98198328405828,-1.6007829408274978,0.29503561607118733
M001111,Patty Murray,Democrat,WA,20.447703551029306,-0.31508665472750247,1.0289736391014834
P000603,Rand Paul,Republican,KY,-23.470417818351685,-16.374397434116563,-10.729788144016434
P000595,Gary C. Peters,Democrat,MI,20.38002872479977,1.3008884320423264,1.62204377614758
S000148,Charles E. Schumer,Democrat,NY,19.871688365137807,1.2354511993113215,1.2449516905892495
S001184,Tim Scott,Republican,SC,-20.620862275653707,-8.896807605978799,-4.177476207045612
T000250,John Thune,Republican,SD,-21.40268768122841,5.35291883406248,2.9971329161381703
V000128,Chris Van Hollen,Democrat,MD,21.20422538994543,-1.6599477911669691,0.4022552697935178
W000800,Peter Welch,Democrat,VT,20.847521033615838,-3.297180601708905,-1.0753026252573916
W000779,Ron Wyden,Democrat,OR,20.726511152002878,-2.217548976960577,-2.3907382429970427
Y000064,Todd Young,Republican,IN,-15.451872937816034,10.223279578574028,-2.119705870875521
S001194,Brian Schatz,Democrat,HI,20.5987288042846,0.15357428486982322,0.8430202519870593
C001095,Tom Cotton,Republican,AR,-21.389576737315874,3.2094594565203813,3.366797261823883
D000622,Tammy Duckworth,Democrat,IL,20.884390485022067,0.2723104046060278,1.4657775258852757
W000817,Elizabeth Warren,Democrat,MA,20.999368561045735,-4.02248522688835,-2.549813833754093
K000383,"Angus S. King, Jr.",Independent,ME,19.626983240678538,1.0834968268061391,1.3427391707256757
D000618,Steve Daines,Republican,MT,-21.91023652830897,-1.560809910379011,2.665621886629885
C001096,Kevin Cramer,Republican,ND,-17.387581681109413,3.499167562678249,-0.41352260310250377
F000463,Deb Fischer,Republican,NE,-22.046236231658558,4.475280839899767,4.054360335560791
C001098,Ted Cruz,Republican,TX,-22.036648175228464,-4.607067532184181,2.126718893717278
K000384,Tim Kaine,Democrat,VA,20.62783658168596,-0.573326334549185,1.069892414842159
B001288,Cory A. Booker,Democrat,NJ,19.896802744778192,-2.4968113091416555,-1.0651701747673277
S001198,Dan Sullivan,Republican,AK,-21.110342601286895,-2.3245104424948915,3.97754053150411
E000295,Joni Ernst,Republican,IA,-20.954463951444076,3.7712509450689584,2.63706532461222
T000476,Thom Tillis,Republican,NC,-10.756487975805928,8.96426119716505,-9.131665211323336
R000605,Mike Rounds,Republican,SD,-12.34611071354197,11.334390086947854,-4.2334850986575665
K000393,John Kennedy,Republican,LA,-17.795638833258636,3.071252866020694,-2.642597672387801
H001076,Margaret Wood Hassan,Democrat,NH,20.38204602330674,1.0038795228615203,1.6983830390762182
C001113,Catherine Cortez Masto,Democrat,NV,20.60574066961063,0.056632593122757875,0.8563560738451471
M001198,Roger Marshall,Republican,KS,-22.509281260490965,-9.706260671828016,0.1968199567960004
B001305,Ted Budd,Republican,NC,-21.972511233950733,0.10676670302902043,2.0773634658314974
R000608,Jacky Rosen,Democrat,NV,19.70650163335359,1.7820235323673501,1.5587181359069426
S001203,Tina Smith,Democrat,MN,20.637234461074893,-0.2539234203730118,1.4913399471251316
H001079,Cindy Hyde-Smith,Republican,MS,-20.694775127867313,4.394247440678292,1.5933459310393072
S001217,Rick Scott,Republican,FL,-23.934930446827295,-10.272161461807967,0.5507031408387448
H001089,Josh Hawley,Republican,MO,-23.29942774652885,-14.284110285929687,0.4426855755673794
K000377,Mark Kelly,Democrat,AZ,19.58341766213833,-0.3069580575389648,1.4377381724765625
L000571,Cynthia M. Lummis,Republican,WY,-21.957709369962938,-2.378093678937133,-1.3757400673825975
T000278,Tommy Tuberville,Republican,AL,-24.7748017842948,-10.473902086457478,2.3818856963247446
H000273,John W. Hickenlooper,Democrat,CO,19.96311955883936,1.1046902656818602,1.7747329228162052
H000601,Bill Hagerty,Republican,TN,-21.70154474442491,-3.7798415259786045,4.148763515050865
P000145,Alex Padilla,Democrat,CA,19.485274685602036,-0.5169616517625186,0.6053252188173777
O000174,Jon Ossoff,Democrat,GA,20.21925763875406,0.9107624217837802,1.4962264645161447
W000790,Raphael G. Warnock,Democrat,GA,20.2270904149872,-0.36200983220386335,0.8547248891709831
B001319,Katie Boyd Britt,Republican,AL,-22.88381531416569,-1.3411643837654155,6.024737388690206
S001227,Eric Schmitt,Republican,MO,-24.709891870358344,-12.693289420103476,1.408603281138609
F000479,John Fetterman,Democrat,PA,15.755480041772929,-1.5033273783979708,2.8970318532864927
R000618,Pete Ricketts,Republican,NE,-20.454528096126985,4.126801073287924,3.787649828834029
