component_idx,direction,vote_id,loading,question,category,date
0,neg,2023/h688,-0.04109108861279277,H.Amdt. 812 (Velázquez) to H.R. 5283: To allow the Interior Secretary to provide housing for specified aliens when the originating state has failed to meet certain criteria.,amendment,2023-11-30T17:00:00
0,neg,2023/h52,-0.04108325274157806,H.Amdt. 27 (Grijalva) to H.R. 21: To add a new paragraph at the end of the bill requiring a plan to consult with Tribal governments and other government officials to be included in the plan required by paragraph (1).,amendment,2023-01-26T18:12:00
0,neg,2023/h114,-0.04107008966712211,H.Amdt. 84 (Torres) to H.R. 185: To require the Secretary of the Department of Health and Human Services to certify that such provision will not result in an increase in hospitalizations due to COVID-19 prior to the provisions of section 1 taking effect.,amendment,2023-02-08T16:41:00
0,neg,2023/h89,-0.04105432819874282,H.Amdt. 71 (Grijalva) to H.R. 21: To add to the end of the bill an additional paragraph that the plan required by paragraph (1) shall not include oil and gas leasing on any protected public lands.,amendment,2023-01-27T12:23:00
0,neg,2023/h43,-0.04105209207223035,H.Amdt. 13 (Soto) to H.R. 21: To change the effective date to be the date the Secretary submits a certification to Congress that the price of gasoline and diesel fuel will not increase in any Petroleum Administration for Defense District.,amendment,2023-01-26T17:45:00
0,neg,2023/h278,-0.04102092878128152,H.Amdt. 207 (Hayes) to H.R. 3799: To delay implementation of H. R. 3799 until the Secretary of Labor certifies that legislation would not result in higher premium rates for older workers.,amendment,2023-06-21T18:07:00
0,neg,2023/h259,-0.04101512890982568,H.Amdt. 199 (Green) to H.R. 277: To delay implementation of the legislation by 1 year and require a study be conducted in that time by the GAO on the effects of implementation.,amendment,2023-06-14T15:16:00
0,neg,2024/h76,-0.04099636586432049,"H.Amdt. 859 (Waters) to H.R. 2799: To require any investment adviser, private fund, or an investment company that is subject to the bill to annually and publicly disclose their investments into women-owned, minority-owned, veteran-owned, rural-domiciled,",amendment,2024-03-08T10:35:00
0,neg,2023/h454,-0.04099293862684995,H.Amdt. 412 (Castro) to H.R. 4367: To prohibit the use of federal funds to support Operation Lone Star.,amendment,2023-09-27T23:33:00
0,neg,2023/h443,-0.04096939570116592,"H.Amdt. 394 (Wasserman Schultz) to H.R. 4367: To strike sections 213, 214, 220, 221, 224, 404, 405, 544, 549, and 550.",amendment,2023-09-27T22:59:00
1,pos,2024/h119,0.08578605396312926,H.R. 7888 (118th): Reforming Intelligence and Securing America Act,passage,2024-04-12T12:57:00
1,pos,2024/h118,0.08064237574324114,H.Amdt. 881 (Turner) to H.R. 7888: To modify the definition of electronic communication service provider under section 702.,amendment,2024-04-12T12:45:00
1,pos,2024/h116,0.07899956153340851,H.Amdt. 879 (Crenshaw) to H.R. 7888: To modify the definition of foreign intelligence under section 702.,amendment,2024-04-12T12:36:00
1,pos,2024/h135,0.0770468414049274,H.Amdt. 885 (LaLota) to H.R. 4639: To clarify that Section 2 shall not limit a governmental entity's ability to obtain information that would be obtainable without a warrant.,amendment,2024-04-17T17:37:00
1,pos,2023/h243,0.07542746448113992,H.R. 3746 (118th): Fiscal Responsibility Act of 2023,passage,2023-05-31T21:21:00
1,pos,2024/h142,0.07453805942973916,"H.Res. 1160 (118th): Providing for consideration of the bill (H.R. 8034) making emergency supplemental appropriations to respond to the situation in Israel and for related expenses for the fiscal year ending September 30, 2024, and for other purposes; pr",passage,2024-04-19T11:01:00
1,pos,2024/h117,0.07287199398011106,H.Amdt. 880 (Waltz) to H.R. 7888: To enable the use of section 702 information to vet foreigners traveling to the United States.,amendment,2024-04-12T12:40:00
1,pos,2024/h151,0.06452317229272915,"H.R. 8035 (118th): Ukraine Security Supplemental Appropriations Act, 2024",passage,2024-04-20T13:48:00
1,pos,2023/h129,0.0620590646673542,H.Amdt. 92 (Lee) to H.R. 347: To state that nothing in this bill should be construed to suggest that the task of combating inflation and bringing down the cost of living is the sole responibility of the Executive Office of the President.,amendment,2023-03-01T10:55:00
1,pos,2023/h343,0.061814266217670846,H.Amdt. 267 (Fitzpatrick) to H.R. 3935: To require the FAA to implement as a rule the recommendations issued by the aviation rulemaking committee for commercial passenger aircraft established by Sec. 522.,amendment,2023-07-19T21:43:00
1,pos,2024/h146,0.061381634247886264,"H.R. 8036 (118th): Indo-Pacific Security Supplemental Appropriations Act, 2024",passage,2024-04-20T13:19:00
1,pos,2024/h492,0.060895420421219905,H.R. 5349 (118th): Crucial Communism Teaching Act,passage,2024-12-06T10:18:00
1,pos,2023/h241,0.06024167076200346,H.Res. 456 (118th): Providing for consideration of the bill (H.R. 3746) to provide for a responsible increase to the debt ceiling.,passage,2023-05-31T16:25:00
1,pos,2023/h691,0.059728405698600856,H.Res. 878 (118th): Providing for the expulsion of Representative George Santos from the United States House of Representatives.,passage,2023-12-01T10:56:00
1,pos,2024/h145,0.059072554027677415,H.R. 8038 (118th): 21st Century Peace through Strength Act,passage,2024-04-20T13:12:00
1,pos,2023/h175,0.05746637581091013,"H.Amdt. 156 (Leger Fernandez) to H.R. 1: To require each local unit of the Bureau of Land Management, National Park Service, and Forest Service to develop a plan to disseminate and advertise open civil service positions with functions relating to permitt",amendment,2023-03-30T11:05:00
1,pos,2023/h364,0.05740947997178605,H.R. 3935 (118th): FAA Reauthorization Act of 2024,passage,2023-07-20T10:38:00
1,pos,2023/h503,0.05727835284956707,"H.R. 5692 (118th): Ukraine Security Assistance and Oversight Supplemental Appropriations Act, 2024",passage,2023-09-28T23:00:00
1,pos,2024/h152,0.05708880015310601,"H.R. 8034 (118th): Israel Security Supplemental Appropriations Act, 2024",passage,2024-04-20T13:57:00
1,pos,2024/h172,0.05633181587121449,H.R. 6090 (118th): Antisemitism Awareness Act of 2023,passage,2024-05-01T16:50:00
1,neg,2023/h463,-0.08115105475420831,"H.Amdt. 438 (Crane) to H.R. 4665: To eliminate funding to the Commission on Security and Cooperation in Europe, Salaries and Expenses.",amendment,2023-09-28T16:55:00
1,neg,2023/h307,-0.0802469768380395,"H.Amdt. 229 (Ogles) to H.R. 2670: To strike section 1224 of the bill, which extends lend-lease authority to Ukraine.",amendment,2023-07-13T17:51:00
1,neg,2023/h371,-0.0796250354584444,H.Amdt. 293 (Greene) to H.R. 4366: To cut the $73 million increase in funding for the NATO Security Investment Program.,amendment,2023-07-26T18:14:00
1,neg,2023/h655,-0.0795134473158522,"H.Amdt. 751 (Biggs) to H.R. 5894: To reduce funding for the Student Aid Administration by $1,769,207,000, and transfer the savings to the Spending Reduction Account.",amendment,2023-11-14T17:31:00
1,neg,2023/h414,-0.07950744256161375,H.Amdt. 315 (Biggs) to H.R. 4368: To strike funding for Food for Peace Title II Grants and directs the total to the spending reduction account.,amendment,2023-09-27T00:34:00
1,neg,2023/h201,-0.07940221137748703,"H.Con.Res. 30 (118th): Directing the President, pursuant to section 5(c) of the War Powers Resolution, to remove all United States Armed Forces, other than United States Armed Forces assigned to protect the United States Embassy, from Somalia.",passage,2023-04-27T16:32:00
1,neg,2023/h464,-0.07910231473634279,H.Amdt. 439 (Crane) to H.R. 4665: To reduce funding by 50% for USAID.,amendment,2023-09-28T16:58:00
1,neg,2023/h656,-0.07888158753378148,"H.Amdt. 752 (Biggs) to H.R. 5894: To reduce funding for the Higher Education Program by $2,767,239,000, and transfer the savings to the Spending Reduction Account.",amendment,2023-11-14T17:35:00
1,neg,2023/h304,-0.07848512296404128,H.Amdt. 226 (Gaetz) to H.R. 2670: To prohibit security assistance for Ukraine.,amendment,2023-07-13T17:40:00
1,neg,2024/h239,-0.07829975004357462,H.Amdt. 934 (Greene) to H.R. 8580: To strike funding for the North Atlantic Treaty Organization Security Investment Program.,amendment,2024-06-04T16:12:00
1,neg,2023/h467,-0.07772332336737639,H.Amdt. 443 (Perry) to H.R. 4665: To eliminate funding for International Disaster Assistance.,amendment,2023-09-28T17:08:00
1,neg,2023/h461,-0.07762700362266937,"H.Amdt. 429 (Rosendale) to H.R. 4367: To reduce total amount appropriated by $8,722,000,000.",amendment,2023-09-28T16:45:00
1,neg,2024/h261,-0.07760039251574949,H.Amdt. 973 (Greene) to H.R. 8070: To provide that none of the funds made available by this Act may be used for assistance to Ukraine.,amendment,2024-06-13T17:05:00
1,neg,2024/h307,-0.07741484744052414,H.Amdt. 1043 (Greene) to H.R. 8771: To prohibit funding for Ukraine.,amendment,2024-06-27T11:32:00
1,neg,2023/h654,-0.0772788335551051,"H.Amdt. 750 (Biggs) to H.R. 5894: To reduce funding for the Student Financial Assistance Program by $9.25 billion, and transfer the savings to the Spending Reduction Account.",amendment,2023-11-14T17:28:00
1,neg,2024/h136,-0.07684433094555376,H.R. 4639 (118th): Fourth Amendment Is Not For Sale Act,passage,2024-04-17T17:48:00
1,neg,2024/h308,-0.07586204620554633,H.Amdt. 1044 (Greene) to H.R. 8771: To prohibit funding for USAID.,amendment,2024-06-27T11:35:00
1,neg,2023/h430,-0.07543755553581014,"H.Amdt. 351 (Rosendale) to H.R. 4368: To reduce the amount appropriated in this Act by $717,000,000.",amendment,2023-09-27T17:43:00
1,neg,2023/h359,-0.07518072661701053,"H.Amdt. 285 (Perry) to H.R. 3935: To reduce the authorization levels in sections 101, 103, and 1111.",amendment,2023-07-19T22:38:00
1,neg,2024/h148,-0.07458365204492808,H.Amdt. 892 (Greene) to H.R. 8035: To reduce every dollar amount in the bill to zero.,amendment,2024-04-20T13:27:00
2,pos,2024/h218,0.1338532693200924,H.Res. 1213 (118th): A resolution regarding violence against law enforcement officers.,passage,2024-05-17T10:49:00
2,pos,2024/h172,0.1264577297293284,H.R. 6090 (118th): Antisemitism Awareness Act of 2023,passage,2024-05-01T16:50:00
2,pos,2024/h203,0.1257945248983573,H.R. 7581 (118th): Improving Law Enforcement Officer Safety and Wellness Through Data Act,passage,2024-05-15T17:56:00
2,pos,2023/h106,0.1196329002818492,H.Con.Res. 9 (118th): Denouncing the horrors of socialism.,passage,2023-02-02T12:36:00
2,pos,2023/h669,0.11862258844391702,"H.Amdt. 781 (Lawler) to H.R. 5894: To prohibit funding under this Act from going toward colleges and universities that authorize, facilitate, provide funding for, or otherwise support any event promoting antisemitism on campus.",amendment,2023-11-15T11:47:00
