bioguide_id,display_name,party,state,row_idx
A000370,Alma S. Adams,Democrat,NC,120
P000609,Gary J. Palmer,Republican,AL,121
H001072,J. French Hill,Republican,AR,122
W000821,Bruce Westerman,Republican,AR,123
D000623,Mark DeSaulnier,Democrat,CA,124
A000371,Pete Aguilar,Democrat,CA,125
L000582,Ted Lieu,Democrat,CA,126
T000474,Norma J. Torres,Democrat,CA,127
C001103,"Earl L. ""Buddy"" Carter",Republican,GA,128
L000583,Barry Loudermilk,Republican,GA,129
A000372,Rick W. Allen,Republican,GA,130
B001295,Mike Bost,Republican,IL,131
M001196,Seth Moulton,Democrat,MA,132
M001194,John R. Moolenaar,Republican,MI,133
D000624,Debbie Dingell,Democrat,MI,134
E000294,Tom Emmer,Republican,MN,135
R000603,David Rouzer,Republican,NC,136
W000822,Bonnie Watson Coleman,Democrat,NJ,137
S001196,Elise M. Stefanik,Republican,NY,138
B001296,Brendan F. Boyle,Democrat,PA,139
B001291,Brian Babin,Republican,TX,140
B001292,"Donald S. Beyer, Jr.",Democrat,VA,141
P000610,Stacey E. Plaskett,Democrat,VI,142
N000189,Dan Newhouse,Republican,WA,143
G000576,Glenn Grothman,Republican,WI,144
K000388,Trent Kelly,Republican,MS,145
L000585,Darin LaHood,Republican,IL,146
D000626,Warren Davidson,Republican,OH,147
C001108,James Comer,Republican,KY,148
E000296,Dwight Evans,Democrat,PA,149
S001190,Bradley Scott Schneider,Democrat,IL,150
B001302,Andy Biggs,Republican,AZ,151
K000389,Ro Khanna,Democrat,CA,152
P000613,Jimmy Panetta,Democrat,CA,153
C001112,Salud O. Carbajal,Democrat,CA,154
B001300,Nanette Diaz Barragán,Democrat,CA,155
C001110,J. Luis Correa,Democrat,CA,156
D000628,Neal P. Dunn,Republican,FL,157
R000609,John H. Rutherford,Republican,FL,158
S001200,Darren Soto,Democrat,FL,159
M001199,Brian J. Mast,Republican,FL,160
K000391,Raja Krishnamoorthi,Democrat,IL,161
H001077,Clay Higgins,Republican,LA,162
J000299,Mike Johnson,Republican,LA,163
R000606,Jamie Raskin,Democrat,MD,164
B001301,Jack Bergman,Republican,MI,165
B001298,Don Bacon,Republican,NE,166
G000583,Josh Gottheimer,Democrat,NJ,167
E000297,Adriano Espaillat,Democrat,NY,168
F000466,Brian K. Fitzpatrick,Republican,PA,169
S001199,Lloyd Smucker,Republican,PA,170
K000392,David Kustoff,Republican,TN,171
G000581,Vicente Gonzalez,Democrat,TX,172
A000375,Jodey C. Arrington,Republican,TX,173
J000298,Pramila Jayapal,Democrat,WA,174
E000298,Ron Estes,Republican,KS,175
N000190,Ralph Norman,Republican,SC,176
G000585,Jimmy Gomez,Democrat,CA,177
C001115,Michael Cloud,Republican,TX,178
B001306,Troy Balderson,Republican,OH,179
H001082,Kevin Hern,Republican,OK,180
M001206,Joseph D. Morelle,Democrat,NY,181
S001205,Mary Gay Scanlon,Democrat,PA,182
C001055,Ed Case,Democrat,HI,183
H001066,Steven Horsford,Democrat,NV,184
S001211,Greg Stanton,Democrat,AZ,185
H001090,Josh Harder,Democrat,CA,186
L000593,Mike Levin,Democrat,CA,187
N000191,Joe Neguse,Democrat,CO,188
C001121,Jason Crow,Democrat,CO,189
H001081,Jahana Hayes,Democrat,CT,190
S001214,W. Gregory Steube,Republican,FL,191
M001208,Lucy McBath,Democrat,GA,192
F000469,Russ Fulcher,Republican,ID,193
G000586,"Jesús G. ""Chuy"" García",Democrat,IL,194
C001117,Sean Casten,Democrat,IL,195
U000040,Lauren Underwood,Democrat,IL,196
B001307,James R. Baird,Republican,IN,197
D000629,Sharice Davids,Democrat,KS,198
T000482,Lori Trahan,Democrat,MA,199
P000617,Ayanna Pressley,Democrat,MA,200
S001215,Haley M. Stevens,Democrat,MI,201
T000481,Rashida Tlaib,Democrat,MI,202
C001119,Angie Craig,Democrat,MN,203
O000173,Ilhan Omar,Democrat,MN,204
S001212,Pete Stauber,Republican,MN,205
G000591,Michael Guest,Republican,MS,206
P000614,Chris Pappas,Democrat,NH,207
V000133,Jefferson Van Drew,Republican,NJ,208
L000590,Susie Lee,Democrat,NV,209
O000172,Alexandria Ocasio-Cortez,Democrat,NY,210
D000631,Madeleine Dean,Democrat,PA,211
H001085,Chrissy Houlahan,Democrat,PA,212
M001204,Daniel Meuser,Republican,PA,213
J000302,John Joyce,Republican,PA,214
R000610,Guy Reschenthaler,Republican,PA,215
T000480,William R. Timmons IV,Republican,SC,216
J000301,Dusty Johnson,Republican,SD,217
B001309,Tim Burchett,Republican,TN,218
R000612,John W. Rose,Republican,TN,219
C001120,Dan Crenshaw,Republican,TX,220
G000589,Lance Gooden,Republican,TX,221
F000468,Lizzie Fletcher,Democrat,TX,222
E000299,Veronica Escobar,Democrat,TX,223
R000614,Chip Roy,Republican,TX,224
G000587,Sylvia R. Garcia,Democrat,TX,225
C001118,Ben Cline,Republican,VA,226
S001216,Kim Schrier,Democrat,WA,227
S001213,Bryan Steil,Republican,WI,228
M001205,Carol D. Miller,Republican,WV,229
G000592,Jared F. Golden,Democrat,ME,230
M001210,Gregory F. Murphy,Republican,NC,231
M000687,Kweisi Mfume,Democrat,MD,232
T000165,Thomas P. Tiffany,Republican,WI,233
I000056,Darrell Issa,Republican,CA,234
S000250,Pete Sessions,Republican,TX,235
V000129,David G. Valadao,Republican,CA,236
M001212,Barry Moore,Republican,AL,237
O000019,Jay Obernolte,Republican,CA,238
K000397,Young Kim,Republican,CA,239
J000305,Sara Jacobs,Democrat,CA,240
B000825,Lauren Boebert,Republican,CO,241
C001039,Kat Cammack,Republican,FL,242
F000472,Scott Franklin,Republican,FL,243
D000032,Byron Donalds,Republican,FL,244
G000593,Carlos A. Gimenez,Republican,FL,245
S000168,Maria Elvira Salazar,Republican,FL,246
W000788,Nikema Williams,Democrat,GA,247
C001116,Andrew S. Clyde,Republican,GA,248
H001091,Ashley Hinson,Republican,IA,249
M001215,Mariannette Miller-Meeks,Republican,IA,250
F000446,Randy Feenstra,Republican,IA,251
M001211,Mary E. Miller,Republican,IL,252
M001214,Frank J. Mrvan,Democrat,IN,253
S000929,Victoria Spartz,Republican,IN,254
M000871,Tracey Mann,Republican,KS,255
A000148,Jake Auchincloss,Democrat,MA,256
M001136,Lisa C. McClain,Republican,MI,257
F000470,Michelle Fischbach,Republican,MN,258
R000305,Deborah K. Ross,Democrat,NC,259
